high_gpa,math_sat,verb_sat,comp_gpa,univ_gpa
3.45,643,589,3.76,3.52
2.78,558,512,2.87,2.91
3.24,592,538,3.29,3.47
2.1,562,486,2.64,2.37
3.51,617,591,3.41,3.32
3.48,684,649,3.61,3.24
2.14,568,603,2.48,2.54
2.59,604,582,3.21,3.19
3.51,642,619,3.41,3.58
3.68,683,642,3.52,3.4
3.72,712,652,3.64,349
2.15,564,501,2.14,2.25
2.48,557,603,2.21,2.37
3.09,591,584,3.17,3.24
2.71,599,562,3.01,3.19
3.32,619,558,3.01,3.37
3.82,718,732,3.78,3.81
2.19,562,507,2.1,2.21
3.34,621,648,3.21,3.58
3.48,717,724,3.68,3.51
3.81,691,684,3.71,3.6
3.92,714,706,3.81,3.65
2.52,554,507,2.09,2.27
2.71,564,543,2.17,2.35
3.15,668,604,2.98,3.17
3.22,691,662,3.28,3.47
2.29,573,591,2.74,3.0
2.03,568,517,2.19,2.74
3.14,607,624,3.28,3.37
3.52,651,683,3.68,3.54
2.91,604,583,3.17,3.28
2.65,604,617,3.31,3.28
2.54,564,500,2.38,2.52
2.66,607,528,2.94,3.08
3.34,647,608,3.17,3.42
3.68,651,683,3.72,3.6
2.74,583,510,2.42,2.83
2.71,554,538,2.49,2.38
2.24,568,519,3.38,3.21
2.48,574,602,2.07,2.24
2.83,591,584,2.71,3.07
3.0,642,603,3.31,3.52
2.89,608,573,3.28,3.47
2.67,574,538,3.19,3.08
3.94,621,645,3.98,3.71
3.42,667,583,3.09,3.01
2.24,554,542,2.07,2.34
3.41,684,672,3.2,3.4
3.56,717,649,3.49,3.38
3.61,712,708,3.51,3.28
3.28,641,608,3.4,3.31
3.21,675,632,3.38,3.42
2.92,564,591,3.09,3.17
2.81,554,509,3.14,3.24
3.11,685,694,3.28,3.41
2.7,571,503,3.02,3.17
2.62,582,591,2.97,3.12
3.42,651,642,3.34,3.5
3.9,591,587,3.68,3.59
3.12,582,612,3.07,3.28
2.83,609,555,2.78,3.0
2.09,554,480,3.68,3.42
3.17,612,590,3.3,3.41
3.28,628,580,3.34,3.49
3.02,567,602,3.17,3.28
3.42,619,623,3.07,3.17
3.06,621,600,3.19,3.24
3.0,564,549,2.15,2.34
2.48,568,541,3.2,2.08
3.49,692,683,3.27,3.42
3.07,680,692,3.19,3.25
2.19,617,503,2.98,2.76

